Time,Voltage,Current,Temperature,SOC
0.0,4.16700779556633,-1.66682371703102e-06,5.56841,1.0
0.1,4.166814188418276,-6.495931008968474e-07,5.56841,0.9999999999906084
0.2,4.1668169985061,-4.002151954296258e-07,5.56841,0.9999999999869483
0.30000000000000004,4.1668169985061,-1.6088645328615894e-07,5.56841,0.9999999999846934
0.4,4.1668169985061,-4.1089131380044735e-08,5.56841,0.9999999999837869
0.5,4.1668169985061,-5.292613370646694e-10,5.56841,0.9999999999835554
0.6000000000000001,4.1668169985061,-3.9254863133502487e-08,5.56841,0.9999999999835524
0.7000000000000001,4.1668169985061,-3.96862789769292e-08,5.56841,0.9999999999833312
0.8,4.1668169985061,-1.933270566850153e-10,5.56841,0.9999999999831076
0.9,4.1668169985061,0.0,5.56841,0.9999999999831065
1.0,4.1668169985061,0.0,5.56841,0.9999999999831065
1.1,4.1668169985061,0.0,5.56841,0.9999999999831065
1.2000000000000002,4.1668169985061,0.0,5.56841,0.9999999999831065
1.3,4.1668169985061,0.0,5.56841,0.9999999999831065
1.4000000000000001,4.1668169985061,0.0,5.56841,0.9999999999831065
1.5,4.1668169985061,-3.91141811781051e-08,5.56841,0.9999999999831065
1.6,4.1668169985061,-5.502368421944212e-10,5.56841,0.9999999999828861
1.7000000000000002,4.1668169985061,0.0,5.56841,0.999999999982883
1.8,4.1668169985061,-3.93909785747155e-08,5.56841,0.999999999982883
1.9000000000000001,4.1668169985061,-3.96862789769292e-08,5.56841,0.9999999999826611
2.0,4.1668169985061,-3.96862789769292e-08,5.56841,0.9999999999824375
2.1,4.166815742174389,0.0,5.56841,0.9999999999822139
2.2,4.1668169985061,0.0,5.56841,0.9999999999822139
2.3000000000000003,4.1668169985061,0.0,5.56841,0.9999999999822139
2.4000000000000004,4.1668169985061,0.0,5.56841,0.9999999999822139
2.5,4.1668169985061,0.0,5.56841,0.9999999999822139
2.6,4.1668169985061,-3.944129866244451e-08,5.56841,0.9999999999822139
2.7,4.1668169985061,-3.96862789769292e-08,5.56841,0.9999999999819916
2.8000000000000003,4.1668169985061,-3.188951117888878e-10,5.56841,0.999999999981768
2.9000000000000004,4.1668169985061,0.0,5.56841,0.9999999999817663
3.0,4.1668169985061,0.0,5.56841,0.9999999999817663
3.1,4.166628110186009,0.0,5.56841,0.9999999999817663
3.2,4.166815129561403,0.0,5.56841,0.9999999999817663
3.3000000000000003,4.1668169985061,-3.9397423862463854e-08,5.56841,0.9999999999817663
3.4000000000000004,4.1668169985061,-3.96862789769292e-08,5.56841,0.9999999999815443
3.5,4.1668169985061,-3.0638346623600053e-10,5.56841,0.9999999999813207
3.6,4.1668169985061,0.0,5.56841,0.9999999999813189
3.7,4.1668169985061,-3.928516514512331e-08,5.56841,0.9999999999813189
